Cell	Percent.Mitochondria	hpca	nCount_RNA	nFeature_RNA	Lineage
Cell_18550	0.1	Smooth_muscle_cells	1561	1100	Stromal_cells
Cell_18551	0	T_cells	596	514	Immune_cells
Cell_18552	0.1	Smooth_muscle_cells	929	760	Stromal_cells
Cell_18553	0.1	DC	1788	1239	
Cell_18554	0	Fibroblasts	786	657	Stromal_cells
Cell_18555	0	Macrophage	1174	935	Immune_cells
Cell_18556	0.1	Endothelial_cells	1750	1261	Stromal_cells
Cell_18557	0	Macrophage	930	778	Immune_cells
Cell_18558	0.3	Fibroblasts	1014	829	Stromal_cells
Cell_18559	0	Fibroblasts	1528	1108	Stromal_cells
Cell_18560	0.2	Epithelial_cells	1772	1220	Epithelial_cells
Cell_18561	0	Fibroblasts	737	611	Stromal_cells
Cell_18562	0.1	Smooth_muscle_cells	1429	1066	Stromal_cells
Cell_18563	0	Fibroblasts	1813	1253	Stromal_cells
Cell_18564	0.4	Epithelial_cells	1565	1139	Epithelial_cells
Cell_18565	0	T_cells	531	462	Immune_cells
Cell_18566	0.1	Smooth_muscle_cells	1636	1189	Stromal_cells
Cell_18567	0.1	Smooth_muscle_cells	1297	985	Stromal_cells
Cell_18568	0.1	Fibroblasts	1093	834	Stromal_cells
Cell_18569	0	Epithelial_cells	1231	956	Epithelial_cells
Cell_18570	0.2	T_cells	2106	1532	Immune_cells
Cell_18571	0.2	Fibroblasts	620	521	Stromal_cells
Cell_18572	0	T_cells	572	501	Immune_cells
Cell_18573	0	Osteoblasts	1173	895	Stromal_cells
Cell_18574	0	Chondrocytes	903	735	Stromal_cells
Cell_18575	0.1	Fibroblasts	1897	1278	Stromal_cells
Cell_18576	0	B_cell	593	527	Immune_cells
Cell_18577	0	Smooth_muscle_cells	1077	853	Stromal_cells
Cell_18578	0	Fibroblasts	2678	1669	Stromal_cells
Cell_18579	0.1	Fibroblasts	806	687	Stromal_cells
Cell_18580	0.3	Macrophage	802	660	Immune_cells
Cell_18581	0.1	T_cells	864	706	Immune_cells
Cell_18582	0	T_cells	648	556	Immune_cells
Cell_18583	0	Smooth_muscle_cells	917	685	Stromal_cells
Cell_18584	0	Smooth_muscle_cells	609	523	Stromal_cells
Cell_18585	0	Smooth_muscle_cells	823	567	Stromal_cells
Cell_18586	0.1	Osteoblasts	1538	1099	Stromal_cells
Cell_18587	0.1	Fibroblasts	1341	958	Stromal_cells
Cell_18588	0.2	Fibroblasts	21221	7057	Stromal_cells
Cell_18589	0.1	Neuroepithelial_cell	804	668	
Cell_18590	0	Smooth_muscle_cells	1139	861	Stromal_cells
Cell_18591	0.1	Smooth_muscle_cells	1466	1040	Stromal_cells
Cell_18592	0	Endothelial_cells	623	503	Stromal_cells
Cell_18593	0	Fibroblasts	734	641	Stromal_cells
Cell_18594	0.1	Endothelial_cells	1984	1401	Stromal_cells
Cell_18595	0.1	Smooth_muscle_cells	1167	928	Stromal_cells
Cell_18596	0	Astrocyte	1377	1019	
Cell_18597	0	Fibroblasts	1446	1082	Stromal_cells
Cell_18598	0.1	Fibroblasts	834	692	Stromal_cells
Cell_18599	0.2	Smooth_muscle_cells	511	448	Stromal_cells
Cell_18600	0.2	Chondrocytes	934	750	Stromal_cells
Cell_18601	0.1	Macrophage	1918	1359	Immune_cells
Cell_18602	0	Fibroblasts	1511	1118	Stromal_cells
Cell_18603	0.2	Macrophage	1014	824	Immune_cells
Cell_18604	0.4	T_cells	563	497	Immune_cells
Cell_18605	0	Epithelial_cells	1654	1121	Epithelial_cells
Cell_18606	0.2	Epithelial_cells	1510	1092	Epithelial_cells
Cell_18607	0	Smooth_muscle_cells	518	461	Stromal_cells
Cell_18608	0.1	Fibroblasts	1642	1107	Stromal_cells
Cell_18609	0.1	Chondrocytes	1494	1051	Stromal_cells
Cell_18610	0	Smooth_muscle_cells	1259	939	Stromal_cells
Cell_18611	0	Fibroblasts	1584	1115	Stromal_cells
Cell_18612	0	Fibroblasts	1622	1194	Stromal_cells
Cell_18613	0.1	Monocyte	1018	846	Immune_cells
Cell_18614	0	B_cell	777	659	Immune_cells
Cell_18615	0.4	Monocyte	830	687	Immune_cells
Cell_18616	0	Fibroblasts	972	760	Stromal_cells
Cell_18617	0.4	Tissue_stem_cells	530	469	
Cell_18618	0	Fibroblasts	1914	1340	Stromal_cells
Cell_18619	0.1	Fibroblasts	1829	1279	Stromal_cells
Cell_18620	0.2	Chondrocytes	1836	1326	Stromal_cells
Cell_18621	0	B_cell	1284	952	Immune_cells
Cell_18622	0.1	Smooth_muscle_cells	1258	996	Stromal_cells
Cell_18623	0	NK_cell	708	607	Immune_cells
Cell_18624	0.3	Tissue_stem_cells	676	570	
Cell_18625	0.1	Macrophage	1242	993	Immune_cells
Cell_18626	0.1	Macrophage	894	732	Immune_cells
Cell_18627	0.4	Macrophage	676	581	Immune_cells
Cell_18628	0	B_cell	1124	913	Immune_cells
Cell_18629	0	Endothelial_cells	1089	889	Stromal_cells
Cell_18630	0.2	NK_cell	803	701	Immune_cells
Cell_18631	0.2	T_cells	577	496	Immune_cells
Cell_18632	0.7	Fibroblasts	11000	4653	Stromal_cells
Cell_18633	0	T_cells	842	710	Immune_cells
Cell_18634	0.2	Fibroblasts	887	669	Stromal_cells
Cell_18635	0.1	Endothelial_cells	1471	1095	Stromal_cells
Cell_18636	0.1	Macrophage	1129	896	Immune_cells
Cell_18637	0	Smooth_muscle_cells	1390	1023	Stromal_cells
Cell_18638	0	Fibroblasts	1533	1138	Stromal_cells
Cell_18639	0	T_cells	1360	1033	Immune_cells
Cell_18640	0.2	Fibroblasts	850	679	Stromal_cells
Cell_18641	0.1	B_cell	1097	858	Immune_cells
Cell_18642	0	Smooth_muscle_cells	1159	895	Stromal_cells
Cell_18643	0	Platelets	975	806	
Cell_18644	0.3	Macrophage	949	778	Immune_cells
Cell_18645	0	Endothelial_cells	1352	1002	Stromal_cells
Cell_18646	0	Macrophage	1312	1007	Immune_cells
Cell_18647	0.1	Epithelial_cells	1877	1314	Epithelial_cells
Cell_18648	0	Epithelial_cells	1591	1190	Epithelial_cells
Cell_18649	24.2	Epithelial_cells	8118	2924	Epithelial_cells
Cell_18650	0.1	Fibroblasts	1025	788	Stromal_cells
Cell_18651	0.1	Smooth_muscle_cells	731	598	Stromal_cells
Cell_18652	0.1	Epithelial_cells	1142	904	Epithelial_cells
Cell_18653	0	Smooth_muscle_cells	1185	924	Stromal_cells
Cell_18654	0.2	Fibroblasts	656	590	Stromal_cells
Cell_18655	0.1	Epithelial_cells	1939	1466	Epithelial_cells
Cell_18656	0.1	Astrocyte	720	600	
Cell_18657	0	Fibroblasts	980	760	Stromal_cells
Cell_18658	0.2	Fibroblasts	1259	1014	Stromal_cells
Cell_18659	0.1	Chondrocytes	686	555	Stromal_cells
Cell_18660	0	Endothelial_cells	773	646	Stromal_cells
Cell_18661	0	Osteoblasts	805	669	Stromal_cells
Cell_18662	0.1	Smooth_muscle_cells	1669	1177	Stromal_cells
Cell_18663	0.1	NK_cell	722	621	Immune_cells
Cell_18664	0.1	Chondrocytes	1170	927	Stromal_cells
Cell_18665	0.1	Neuroepithelial_cell	828	698	
Cell_18666	0	NK_cell	1022	834	Immune_cells
Cell_18667	0	Monocyte	1190	952	Immune_cells
Cell_18668	0	Epithelial_cells	1600	1186	Epithelial_cells
Cell_18669	0.3	Embryonic_stem_cells	927	662	
Cell_18670	0.5	Osteoblasts	1305	926	Stromal_cells
Cell_18671	0.2	Fibroblasts	1290	931	Stromal_cells
Cell_18672	1.9	MSC	811	679	
Cell_18673	0.4	Epithelial_cells	494	428	Epithelial_cells
Cell_18674	0.5	Fibroblasts	960	708	Stromal_cells
Cell_18675	0.3	Endothelial_cells	1997	1338	Stromal_cells
Cell_18676	0.3	CMP	871	671	
Cell_18677	0.1	Epithelial_cells	1824	1099	Epithelial_cells
Cell_18678	0.1	Smooth_muscle_cells	1296	977	Stromal_cells
Cell_18679	0.3	T_cells	775	637	Immune_cells
Cell_18680	0.5	Epithelial_cells	1377	1035	Epithelial_cells
Cell_18681	0.2	Fibroblasts	1412	1026	Stromal_cells
Cell_18682	0.1	Endothelial_cells	961	777	Stromal_cells
Cell_18683	0.3	Smooth_muscle_cells	1533	1119	Stromal_cells
Cell_18684	0.4	Macrophage	528	474	Immune_cells
Cell_18685	0.1	Epithelial_cells	42687	7908	Epithelial_cells
Cell_18686	0.2	Macrophage	1905	1329	Immune_cells
Cell_18687	0.7	Fibroblasts	611	507	Stromal_cells
Cell_18688	0.4	Platelets	978	760	
Cell_18689	0.4	Neurons	710	589	
Cell_18690	0.1	Fibroblasts	1371	1022	Stromal_cells
Cell_18691	0.5	Chondrocytes	1068	792	Stromal_cells
Cell_18692	0.1	Epithelial_cells	57454	9078	Epithelial_cells
Cell_18693	0.1	Fibroblasts	758	512	Stromal_cells
Cell_18694	0.1	Smooth_muscle_cells	1482	1080	Stromal_cells
Cell_18695	0.1	Smooth_muscle_cells	1354	973	Stromal_cells
Cell_18696	0.1	Osteoblasts	1775	1104	Stromal_cells
Cell_18697	0.7	Epithelial_cells	669	565	Epithelial_cells
Cell_18698	6.4	Epithelial_cells	1688	1131	Epithelial_cells
Cell_18699	1.3	Epithelial_cells	598	493	Epithelial_cells
Cell_18700	0.1	Macrophage	1861	1330	Immune_cells
Cell_18701	0.2	Endothelial_cells	533	442	Stromal_cells
Cell_18702	0.5	Epithelial_cells	794	612	Epithelial_cells
Cell_18703	0.5	Epithelial_cells	1923	1339	Epithelial_cells
Cell_18704	0.5	Epithelial_cells	1311	952	Epithelial_cells
Cell_18705	0.1	Endothelial_cells	941	744	Stromal_cells
Cell_18706	0	Epithelial_cells	1163	850	Epithelial_cells
Cell_18707	0.3	Epithelial_cells	27660	7223	Epithelial_cells
Cell_18708	0.4	Smooth_muscle_cells	1271	873	Stromal_cells
Cell_18709	0.2	NK_cell	513	429	Immune_cells
Cell_18710	1	Fibroblasts	8368	4079	Stromal_cells
Cell_18711	0.6	Macrophage	531	447	Immune_cells
Cell_18712	0.4	Fibroblasts	1351	989	Stromal_cells
Cell_18713	0.4	T_cells	994	789	Immune_cells
Cell_18714	0.1	Smooth_muscle_cells	1895	1349	Stromal_cells
Cell_18715	0.3	Epithelial_cells	638	534	Epithelial_cells
Cell_18716	0.1	Macrophage	1804	1264	Immune_cells
Cell_18717	0.3	Smooth_muscle_cells	1916	1281	Stromal_cells
Cell_18718	0.1	Fibroblasts	1319	968	Stromal_cells
Cell_18719	0.2	Epithelial_cells	1908	1218	Epithelial_cells
Cell_18720	0.8	Osteoblasts	507	418	Stromal_cells
Cell_18721	0.1	Smooth_muscle_cells	1717	1199	Stromal_cells
Cell_18722	0.1	Fibroblasts	1829	1287	Stromal_cells
Cell_18723	0.3	Endothelial_cells	1460	1002	Stromal_cells
Cell_18724	0.2	Epithelial_cells	645	479	Epithelial_cells
Cell_18725	0.1	Fibroblasts	1856	1217	Stromal_cells
Cell_18726	0.1	Fibroblasts	1684	1160	Stromal_cells
Cell_18727	0.2	Monocyte	1001	771	Immune_cells
Cell_18728	1.3	Fibroblasts	524	470	Stromal_cells
Cell_18729	0.5	Neurons	996	780	
Cell_18730	0.3	Fibroblasts	1570	1148	Stromal_cells
Cell_18731	0.2	Endothelial_cells	10759	4164	Stromal_cells
Cell_18732	0.4	Smooth_muscle_cells	757	583	Stromal_cells
Cell_18733	0.4	Fibroblasts	504	393	Stromal_cells
Cell_18734	1.1	Smooth_muscle_cells	570	477	Stromal_cells
Cell_18735	0.2	Epithelial_cells	1741	1182	Epithelial_cells
Cell_18736	0.6	Smooth_muscle_cells	520	461	Stromal_cells
Cell_18737	0.2	Embryonic_stem_cells	1120	820	
Cell_18738	1.8	Tissue_stem_cells	674	542	
Cell_18739	2.8	Epithelial_cells	1897	1311	Epithelial_cells
Cell_18740	0.4	T_cells	915	761	Immune_cells
Cell_18741	0.3	Fibroblasts	1360	963	Stromal_cells
Cell_18742	0	Epithelial_cells	1671	1176	Epithelial_cells
Cell_18743	0.5	Macrophage	1081	855	Immune_cells
Cell_18744	0.1	Endothelial_cells	1943	1304	Stromal_cells
Cell_18745	0.8	Epithelial_cells	826	656	Epithelial_cells
Cell_18746	0.3	T_cells	1287	1008	Immune_cells
Cell_18747	0.2	Platelets	1468	1071	
Cell_18748	0.2	Smooth_muscle_cells	1239	894	Stromal_cells
Cell_18749	0.2	Epithelial_cells	1594	1112	Epithelial_cells
Cell_18750	0.2	Neurons	4619	2793	
Cell_18751	0.1	Fibroblasts	2146	1464	Stromal_cells
Cell_18752	0.2	Fibroblasts	562	481	Stromal_cells
Cell_18753	0.2	Epithelial_cells	1878	1256	Epithelial_cells
Cell_18754	0.2	Smooth_muscle_cells	1629	1125	Stromal_cells
Cell_18755	0.3	Macrophage	1292	927	Immune_cells
Cell_18756	0.1	Fibroblasts	1572	1132	Stromal_cells
Cell_18757	0.4	Smooth_muscle_cells	4395	2552	Stromal_cells
Cell_18758	0.7	Fibroblasts	691	572	Stromal_cells
Cell_18759	0.4	Macrophage	1149	809	Immune_cells
Cell_18760	0.2	T_cells	3728	2261	Immune_cells
Cell_18761	0.2	Epithelial_cells	1377	972	Epithelial_cells
Cell_18762	0.1	Smooth_muscle_cells	1682	1123	Stromal_cells
Cell_18763	0.4	Fibroblasts	1230	882	Stromal_cells
Cell_18764	0.1	T_cells	724	591	Immune_cells
Cell_18765	0.2	Epithelial_cells	1610	1142	Epithelial_cells
Cell_18766	0.2	Fibroblasts	1478	1071	Stromal_cells
Cell_18767	0.2	Epithelial_cells	917	726	Epithelial_cells
Cell_18768	0.2	Fibroblasts	1993	1334	Stromal_cells
Cell_18769	0.4	T_cells	569	496	Immune_cells
Cell_18770	0.1	Tissue_stem_cells	9653	3890	
Cell_18771	0.2	Astrocyte	1127	780	
Cell_18772	0.1	B_cell	1631	1201	Immune_cells
Cell_18773	0.1	Osteoblasts	939	736	Stromal_cells
Cell_18774	0.4	Smooth_muscle_cells	1808	1204	Stromal_cells
Cell_18775	0	Endothelial_cells	1541	1118	Stromal_cells
Cell_18776	0.3	Fibroblasts	1770	1184	Stromal_cells
Cell_18777	0.4	Osteoblasts	1545	964	Stromal_cells
Cell_18778	0.2	Fibroblasts	1303	934	Stromal_cells
Cell_18779	0.1	Fibroblasts	937	698	Stromal_cells
Cell_18780	0.6	Epithelial_cells	1416	998	Epithelial_cells
Cell_18781	0.4	Fibroblasts	1430	1053	Stromal_cells
Cell_18782	0.3	Epithelial_cells	1113	834	Epithelial_cells
Cell_18783	0.5	Fibroblasts	647	535	Stromal_cells
Cell_18784	0.1	Macrophage	685	546	Immune_cells
Cell_18785	0.5	Fibroblasts	868	690	Stromal_cells
Cell_18786	0	Smooth_muscle_cells	771	629	Stromal_cells
Cell_18787	1.2	Endothelial_cells	509	457	Stromal_cells
Cell_18788	0.6	T_cells	1168	923	Immune_cells
Cell_18789	0.2	Epithelial_cells	1751	1217	Epithelial_cells
Cell_18790	0.3	CMP	1019	796	
Cell_18791	0.2	NK_cell	1028	825	Immune_cells
Cell_18792	0.3	B_cell	1179	912	Immune_cells
Cell_18793	0.7	Endothelial_cells	1209	917	Stromal_cells
Cell_18794	0.1	Smooth_muscle_cells	1375	1026	Stromal_cells
Cell_18795	0.2	Fibroblasts	621	527	Stromal_cells
Cell_18796	0.3	Fibroblasts	1313	904	Stromal_cells
Cell_18797	0.3	Smooth_muscle_cells	765	633	Stromal_cells
Cell_18798	0.3	T_cells	1182	886	Immune_cells
Cell_18799	0.1	Fibroblasts	1365	944	Stromal_cells
Cell_18800	0.1	Osteoblasts	898	760	Stromal_cells
Cell_18801	0.1	Fibroblasts	721	567	Stromal_cells
Cell_18802	0.1	Fibroblasts	1599	1148	Stromal_cells
Cell_18803	0.1	Fibroblasts	671	499	Stromal_cells
Cell_18804	0.1	Fibroblasts	899	707	Stromal_cells
Cell_18805	0.2	Tissue_stem_cells	1793	1162	
Cell_18806	0.2	Fibroblasts	1938	1298	Stromal_cells
Cell_18807	0.2	T_cells	489	433	Immune_cells
Cell_18808	0.4	Macrophage	532	473	Immune_cells
Cell_18809	0.1	Epithelial_cells	27680	6715	Epithelial_cells
Cell_18810	0.4	Fibroblasts	1980	1301	Stromal_cells
Cell_18811	0.1	Fibroblasts	1905	1271	Stromal_cells
Cell_18812	0.3	Neurons	1788	1226	
Cell_18813	0.7	Fibroblasts	606	483	Stromal_cells
Cell_18814	0.8	NK_cell	642	540	Immune_cells
Cell_18815	0.1	Fibroblasts	1689	1231	Stromal_cells
Cell_18816	0.1	Endothelial_cells	1940	1306	Stromal_cells
Cell_18817	0.2	Fibroblasts	1426	971	Stromal_cells
Cell_18818	0.4	Epithelial_cells	704	564	Epithelial_cells
Cell_18819	0.2	T_cells	819	638	Immune_cells
Cell_18820	0.2	Epithelial_cells	9371	3872	Epithelial_cells
Cell_18821	0.1	Epithelial_cells	6519	3155	Epithelial_cells
Cell_18822	0.1	Fibroblasts	4071	2161	Stromal_cells
Cell_18823	0	Chondrocytes	1918	1205	Stromal_cells
Cell_18824	0.7	Epithelial_cells	743	620	Epithelial_cells
Cell_18825	0.1	Smooth_muscle_cells	1162	840	Stromal_cells
Cell_18826	0.2	B_cell	884	720	Immune_cells
Cell_18827	0.4	Fibroblasts	1601	1106	Stromal_cells
Cell_18828	0	Fibroblasts	1064	804	Stromal_cells
Cell_18829	0.2	Fibroblasts	576	485	Stromal_cells
Cell_18830	0.2	Epithelial_cells	1593	1051	Epithelial_cells
Cell_18831	0.1	Fibroblasts	1392	867	Stromal_cells
Cell_18832	0.1	T_cells	865	725	Immune_cells
Cell_18833	0.3	Osteoblasts	1589	1053	Stromal_cells
Cell_18834	0.3	Fibroblasts	1535	1129	Stromal_cells
Cell_18835	0.5	Fibroblasts	1096	821	Stromal_cells
Cell_18836	0.5	HSC_-G-CSF	654	542	
Cell_18837	0.3	Platelets	1443	1015	
Cell_18838	0.3	Fibroblasts	731	594	Stromal_cells
Cell_18839	0.2	Smooth_muscle_cells	1693	1132	Stromal_cells
Cell_18840	0	Tissue_stem_cells	511	421	
Cell_18841	0.1	Smooth_muscle_cells	1677	1234	Stromal_cells
Cell_18842	0.1	Fibroblasts	1032	795	Stromal_cells
Cell_18843	0.5	Tissue_stem_cells	610	489	
Cell_18844	0.3	Fibroblasts	1422	1053	Stromal_cells
Cell_18845	0.5	Fibroblasts	1314	984	Stromal_cells
Cell_18846	0.5	Fibroblasts	628	509	Stromal_cells
Cell_18847	1.2	Fibroblasts	516	459	Stromal_cells
Cell_18848	0.2	Fibroblasts	1092	690	Stromal_cells
Cell_18849	0.1	Epithelial_cells	11596	3972	Epithelial_cells
Cell_18850	0.2	Smooth_muscle_cells	1882	1219	Stromal_cells
Cell_18851	0.3	T_cells	1294	994	Immune_cells
Cell_18852	0.2	NK_cell	1239	907	Immune_cells
Cell_18853	0.4	Epithelial_cells	519	445	Epithelial_cells
Cell_18854	0.8	Osteoblasts	908	707	Stromal_cells
Cell_18855	0.2	Fibroblasts	21313	6177	Stromal_cells
Cell_18856	0.1	Smooth_muscle_cells	1386	951	Stromal_cells
Cell_18857	0.3	Osteoblasts	1506	968	Stromal_cells
Cell_18858	0.6	Endothelial_cells	638	531	Stromal_cells
Cell_18859	0.1	Fibroblasts	1500	1068	Stromal_cells
Cell_18860	0.3	Endothelial_cells	1176	915	Stromal_cells
Cell_18861	2	Fibroblasts	562	507	Stromal_cells
Cell_18862	1.8	Fibroblasts	765	600	Stromal_cells
Cell_18863	0.2	Epithelial_cells	6799	3261	Epithelial_cells
Cell_18864	0.1	Fibroblasts	1722	1193	Stromal_cells
Cell_18865	0.1	Fibroblasts	761	593	Stromal_cells
Cell_18866	0.3	Endothelial_cells	1247	893	Stromal_cells
Cell_18867	0.3	Fibroblasts	987	783	Stromal_cells
Cell_18868	0.6	Fibroblasts	1071	848	Stromal_cells
Cell_18869	1	Smooth_muscle_cells	1740	1332	Stromal_cells
Cell_18870	0.1	Monocyte	1889	1214	Immune_cells
Cell_18871	0.1	Epithelial_cells	1728	1250	Epithelial_cells
Cell_18872	0.3	Smooth_muscle_cells	1970	1427	Stromal_cells
Cell_18873	0.6	Epithelial_cells	653	541	Epithelial_cells
Cell_18874	0.1	B_cell	770	620	Immune_cells
Cell_18875	0.4	Epithelial_cells	732	588	Epithelial_cells
Cell_18876	0.4	Smooth_muscle_cells	926	604	Stromal_cells
Cell_18877	1.3	Platelets	557	479	
Cell_18878	0.4	Astrocyte	568	484	
Cell_18879	0	Epithelial_cells	811	623	Epithelial_cells
Cell_18880	0.6	T_cells	1162	908	Immune_cells
Cell_18881	3.1	Smooth_muscle_cells	670	578	Stromal_cells
Cell_18882	0.9	T_cells	668	558	Immune_cells
Cell_18883	0	Smooth_muscle_cells	931	696	Stromal_cells
Cell_18884	0.6	Fibroblasts	495	447	Stromal_cells
Cell_18885	0.2	Fibroblasts	882	674	Stromal_cells
Cell_18886	0.1	Epithelial_cells	1020	806	Epithelial_cells
Cell_18887	0.1	Epithelial_cells	5667	2836	Epithelial_cells
Cell_18888	0.3	Smooth_muscle_cells	1940	1295	Stromal_cells
Cell_18889	0.1	Smooth_muscle_cells	8761	3895	Stromal_cells
Cell_18890	0.8	Smooth_muscle_cells	504	438	Stromal_cells
Cell_18891	0	Endothelial_cells	9470	4246	Stromal_cells
Cell_18892	0.3	B_cell	1757	1282	Immune_cells
Cell_18893	0.1	Fibroblasts	1986	1348	Stromal_cells
Cell_18894	0.3	Osteoblasts	4482	2466	Stromal_cells
Cell_18895	0.2	Smooth_muscle_cells	1678	1155	Stromal_cells
Cell_18896	0.1	Epithelial_cells	7546	3571	Epithelial_cells
Cell_18897	0.1	Epithelial_cells	82799	9196	Epithelial_cells
Cell_18898	0	Fibroblasts	4840	2211	Stromal_cells
Cell_18899	0.1	Fibroblasts	1722	1173	Stromal_cells
Cell_18900	0.4	Monocyte	675	559	Immune_cells
Cell_18901	0.2	Epithelial_cells	1892	1216	Epithelial_cells
Cell_18902	1	Endothelial_cells	593	494	Stromal_cells
Cell_18903	0	Fibroblasts	1422	1037	Stromal_cells
Cell_18904	1	Fibroblasts	685	534	Stromal_cells
Cell_18905	0.4	Epithelial_cells	973	749	Epithelial_cells
Cell_18906	0.5	Smooth_muscle_cells	774	634	Stromal_cells
Cell_18907	0.2	Epithelial_cells	7895	3753	Epithelial_cells
Cell_18908	0.1	Fibroblasts	963	739	Stromal_cells
Cell_18909	0.2	Fibroblasts	1284	916	Stromal_cells
Cell_18910	0.1	Osteoblasts	1488	1047	Stromal_cells
Cell_18911	0.4	Fibroblasts	925	721	Stromal_cells
Cell_18912	0.4	Endothelial_cells	1938	1303	Stromal_cells
Cell_18913	1.1	Smooth_muscle_cells	668	549	Stromal_cells
Cell_18914	0.2	Smooth_muscle_cells	1602	1117	Stromal_cells
Cell_18915	0.3	Fibroblasts	627	540	Stromal_cells
Cell_18916	0.1	Smooth_muscle_cells	801	675	Stromal_cells
Cell_18917	0.1	Platelets	889	686	
Cell_18918	0.2	Macrophage	1054	829	Immune_cells
Cell_18919	0.2	Fibroblasts	1261	926	Stromal_cells
Cell_18920	1	Epithelial_cells	671	580	Epithelial_cells
Cell_18921	0.4	Epithelial_cells	1621	1178	Epithelial_cells
Cell_18922	0.2	CMP	1173	870	
Cell_18923	0.7	Neurons	1031	793	
Cell_18924	0.2	Epithelial_cells	13800	4978	Epithelial_cells
Cell_18925	0.7	Epithelial_cells	1216	866	Epithelial_cells
Cell_18926	0	Fibroblasts	5830	2770	Stromal_cells
Cell_18927	1.3	Smooth_muscle_cells	560	481	Stromal_cells
Cell_18928	0.2	Smooth_muscle_cells	1375	961	Stromal_cells
Cell_18929	0.3	Fibroblasts	1511	989	Stromal_cells
Cell_18930	1.3	Neurons	704	572	
Cell_18931	0.1	Fibroblasts	15312	5077	Stromal_cells
Cell_18932	0.6	Epithelial_cells	1387	883	Epithelial_cells
Cell_18933	0.1	Fibroblasts	1656	1169	Stromal_cells
Cell_18934	0.2	Fibroblasts	1829	1216	Stromal_cells
Cell_18935	0.1	Epithelial_cells	1488	1136	Epithelial_cells
Cell_18936	0.4	MEP	706	604	
Cell_18937	0	Smooth_muscle_cells	770	637	Stromal_cells
Cell_18938	0.4	Platelets	572	482	
Cell_18939	0.2	Epithelial_cells	1395	953	Epithelial_cells
Cell_18940	0.1	Epithelial_cells	31895	6984	Epithelial_cells
Cell_18941	0.4	Smooth_muscle_cells	1623	1179	Stromal_cells
Cell_18942	0.3	Endothelial_cells	1506	1021	Stromal_cells
Cell_18943	0.2	Smooth_muscle_cells	1821	1196	Stromal_cells
Cell_18944	0	Fibroblasts	1333	984	Stromal_cells
Cell_18945	0.2	Monocyte	1221	924	Immune_cells
Cell_18946	1	HSC_CD34+	501	423	
Cell_18947	0.4	Macrophage	706	584	Immune_cells
Cell_18948	0.3	Smooth_muscle_cells	617	473	Stromal_cells
Cell_18949	0.2	Fibroblasts	1963	1272	Stromal_cells
Cell_18950	0.5	Fibroblasts	627	497	Stromal_cells
Cell_18951	0	Epithelial_cells	1181	856	Epithelial_cells
Cell_18952	0.2	Chondrocytes	524	427	Stromal_cells
Cell_18953	0	Osteoblasts	797	611	Stromal_cells
Cell_18954	0	Fibroblasts	540	454	Stromal_cells
Cell_18955	0.1	Chondrocytes	1214	809	Stromal_cells
Cell_18956	0	Fibroblasts	1531	1058	Stromal_cells
Cell_18957	0	Smooth_muscle_cells	650	502	Stromal_cells
Cell_18958	0	Fibroblasts	911	710	Stromal_cells
Cell_18959	0	T_cells	604	503	Immune_cells
Cell_18960	0.1	Smooth_muscle_cells	891	674	Stromal_cells
Cell_18961	0.1	Chondrocytes	1883	1143	Stromal_cells
Cell_18962	0	Fibroblasts	596	492	Stromal_cells
Cell_18963	0	Fibroblasts	1528	966	Stromal_cells
Cell_18964	0	Osteoblasts	11109	3964	Stromal_cells
Cell_18965	0.1	Smooth_muscle_cells	886	694	Stromal_cells
Cell_18966	0.1	Fibroblasts	1122	812	Stromal_cells
Cell_18967	0.1	Osteoblasts	708	534	Stromal_cells
Cell_18968	0	Fibroblasts	1934	1157	Stromal_cells
Cell_18969	0.1	Smooth_muscle_cells	1965	1150	Stromal_cells
Cell_18970	0.1	Smooth_muscle_cells	1439	959	Stromal_cells
Cell_18971	0.1	Osteoblasts	7434	3281	Stromal_cells
Cell_18972	0	Fibroblasts	779	598	Stromal_cells
Cell_18973	0	Fibroblasts	1801	1084	Stromal_cells
Cell_18974	0	Osteoblasts	1904	1126	Stromal_cells
Cell_18975	0	Endothelial_cells	2561	1710	Stromal_cells
Cell_18976	0	T_cells	887	693	Immune_cells
Cell_18977	0	Chondrocytes	1869	1222	Stromal_cells
Cell_18978	0.1	Epithelial_cells	1785	1212	Epithelial_cells
Cell_18979	0	Endothelial_cells	726	577	Stromal_cells
Cell_18980	0	Astrocyte	1897	1287	
Cell_18981	0	Osteoblasts	717	592	Stromal_cells
Cell_18982	0	Smooth_muscle_cells	1633	1076	Stromal_cells
Cell_18983	0.1	Endothelial_cells	1102	807	Stromal_cells
Cell_18984	0	Fibroblasts	1207	850	Stromal_cells
Cell_18985	0	Epithelial_cells	1254	892	Epithelial_cells
Cell_18986	0	Epithelial_cells	61272	8062	Epithelial_cells
Cell_18987	0	Neuroepithelial_cell	1216	870	
Cell_18988	0.1	Epithelial_cells	1929	1270	Epithelial_cells
Cell_18989	0	Fibroblasts	1035	720	Stromal_cells
Cell_18990	0	Smooth_muscle_cells	495	424	Stromal_cells
Cell_18991	0	Fibroblasts	8100	3304	Stromal_cells
Cell_18992	0.1	Chondrocytes	1486	969	Stromal_cells
Cell_18993	0	Smooth_muscle_cells	1409	931	Stromal_cells
Cell_18994	0.3	Smooth_muscle_cells	673	535	Stromal_cells
