Cell	Percent.Mitochondria	hpca	nCount_RNA	nFeature_RNA	Lineage
Cell_7818	0	Fibroblasts	935	716	Stromal_cells
Cell_7819	0.1	NK_cell	1029	810	Immune_cells
Cell_7820	1.1	Smooth_muscle_cells	653	527	Stromal_cells
Cell_7821	0	Platelets	754	652	
Cell_7822	0	B_cell	618	527	Immune_cells
Cell_7823	0.3	Osteoblasts	720	578	Stromal_cells
Cell_7824	0.1	B_cell	1660	1216	Immune_cells
Cell_7825	0	T_cells	675	577	Immune_cells
Cell_7826	0	T_cells	517	451	Immune_cells
Cell_7827	0	T_cells	775	618	Immune_cells
Cell_7828	0.2	T_cells	566	461	Immune_cells
Cell_7829	0.1	Fibroblasts	3706	2184	Stromal_cells
Cell_7830	0	Fibroblasts	670	566	Stromal_cells
Cell_7831	0	Endothelial_cells	926	701	Stromal_cells
Cell_7832	0	Smooth_muscle_cells	614	540	Stromal_cells
Cell_7833	0.1	T_cells	920	716	Immune_cells
Cell_7834	0.1	NK_cell	804	651	Immune_cells
Cell_7835	0.1	Epithelial_cells	6321	2885	Epithelial_cells
Cell_7836	0.1	Fibroblasts	2556	1655	Stromal_cells
Cell_7837	0	NK_cell	568	491	Immune_cells
Cell_7838	0.1	Fibroblasts	1197	898	Stromal_cells
Cell_7839	0.5	NK_cell	1048	832	Immune_cells
Cell_7840	0	Endothelial_cells	903	710	Stromal_cells
Cell_7841	0.2	Fibroblasts	611	497	Stromal_cells
Cell_7842	0.4	Epithelial_cells	1238	866	Epithelial_cells
Cell_7843	0.1	B_cell	799	681	Immune_cells
Cell_7844	0.1	B_cell	1329	923	Immune_cells
Cell_7845	0	Chondrocytes	602	516	Stromal_cells
Cell_7846	0	NK_cell	605	514	Immune_cells
Cell_7847	0.1	HSC_-G-CSF	976	745	
Cell_7848	0	Astrocyte	3829	2058	
Cell_7849	0.1	Epithelial_cells	1701	1163	Epithelial_cells
Cell_7850	0	Fibroblasts	1363	950	Stromal_cells
Cell_7851	0.1	T_cells	1130	855	Immune_cells
Cell_7852	0.2	Smooth_muscle_cells	905	703	Stromal_cells
Cell_7853	0	Astrocyte	1779	1195	
Cell_7854	0	T_cells	1785	1228	Immune_cells
Cell_7855	0.1	Epithelial_cells	1926	1211	Epithelial_cells
Cell_7856	0	B_cell	849	662	Immune_cells
Cell_7857	0	Neurons	1960	1199	
Cell_7858	0.3	Monocyte	1028	804	Immune_cells
Cell_7859	0	T_cells	549	458	Immune_cells
Cell_7860	0	T_cells	1559	1072	Immune_cells
Cell_7861	0.1	Fibroblasts	1790	1218	Stromal_cells
Cell_7862	0.1	Astrocyte	1881	1278	
Cell_7863	0	NK_cell	691	561	Immune_cells
Cell_7864	0	T_cells	502	446	Immune_cells
Cell_7865	0.1	T_cells	907	730	Immune_cells
Cell_7866	0	T_cells	929	734	Immune_cells
Cell_7867	0.1	Endothelial_cells	1759	1213	Stromal_cells
Cell_7868	0	Endothelial_cells	1839	1192	Stromal_cells
Cell_7869	0.6	Macrophage	1494	1117	Immune_cells
Cell_7870	0	B_cell	602	500	Immune_cells
Cell_7871	0	NK_cell	722	584	Immune_cells
Cell_7872	0	T_cells	844	659	Immune_cells
Cell_7873	0.1	T_cells	5417	2706	Immune_cells
Cell_7874	0.1	Fibroblasts	3442	2132	Stromal_cells
Cell_7875	0	T_cells	658	548	Immune_cells
Cell_7876	0.5	B_cell	1178	905	Immune_cells
Cell_7877	0	T_cells	890	701	Immune_cells
Cell_7878	0	NK_cell	780	646	Immune_cells
Cell_7879	0	Fibroblasts	795	665	Stromal_cells
Cell_7880	0.2	Fibroblasts	638	543	Stromal_cells
Cell_7881	0.2	Fibroblasts	938	724	Stromal_cells
Cell_7882	0.1	T_cells	773	628	Immune_cells
Cell_7883	0.1	Macrophage	1730	1240	Immune_cells
Cell_7884	0	B_cell	971	776	Immune_cells
Cell_7885	0.1	Macrophage	1036	826	Immune_cells
Cell_7886	0	B_cell	994	776	Immune_cells
Cell_7887	0	Platelets	645	541	
Cell_7888	0.1	Endothelial_cells	1546	1093	Stromal_cells
Cell_7889	0.2	T_cells	629	537	Immune_cells
Cell_7890	0.1	T_cells	1040	797	Immune_cells
Cell_7891	0	T_cells	626	503	Immune_cells
Cell_7892	0.1	Endothelial_cells	1844	1304	Stromal_cells
Cell_7893	0.2	Fibroblasts	518	438	Stromal_cells
Cell_7894	0	T_cells	630	525	Immune_cells
Cell_7895	0	Endothelial_cells	1344	956	Stromal_cells
Cell_7896	0.1	Epithelial_cells	1190	906	Epithelial_cells
Cell_7897	1	T_cells	1594	1121	Immune_cells
Cell_7898	0.1	Fibroblasts	684	531	Stromal_cells
Cell_7899	0	T_cells	609	516	Immune_cells
Cell_7900	0.2	T_cells	1306	997	Immune_cells
Cell_7901	9.6	HSC_-G-CSF	501	412	
Cell_7902	0.2	T_cells	811	635	Immune_cells
Cell_7903	0.3	T_cells	611	506	Immune_cells
Cell_7904	0	NK_cell	497	415	Immune_cells
Cell_7905	0.2	Chondrocytes	580	495	Stromal_cells
Cell_7906	0	T_cells	701	572	Immune_cells
Cell_7907	0	Epithelial_cells	1602	1178	Epithelial_cells
Cell_7908	0.1	T_cells	724	596	Immune_cells
